cid,eid1,eid2,eid3,xy
134,193,217,218,"[[35.605230162466995, 13.066712564354999], [35.543333333333, 13.473333333333], [35.287581093906, 13.094044054244002], [35.605230162466995, 13.066712564354999]]"
135,198,201,203,"[[14.496666666666998, 13.873333333333001], [14.655944380332, 13.53640631159], [14.813333333333, 13.866666666667], [14.496666666666998, 13.873333333333001]]"
136,219,220,221,"[[24.32, 14.17], [23.986666666667, 14.206666666667], [24.115914928084003, 13.757973364520002], [24.32, 14.17]]"
137,197,147,148,"[[13.863333333333001, 13.976666666666999], [13.546666666666999, 14.073333333333002], [13.596624599958, 13.662087049852], [13.863333333333001, 13.976666666666999]]"
138,222,174,173,"[[38.073421147037, 12.191304893907], [37.968645154423, 12.664117780636001], [37.613631917996, 12.321195567146], [38.073421147037, 12.191304893907]]"
139,141,223,215,"[[15.639198373034999, 13.493084425507], [15.81, 13.893333333333], [15.47, 13.876666666666999], [15.639198373034999, 13.493084425507]]"
140,120,224,121,"[[5.423333333333, 7.633333333333], [5.511715527051001, 7.296868268731], [5.801647162510999, 7.430367770374], [5.423333333333, 7.633333333333]]"
141,209,225,144,"[[7.789449736261999, 9.165500916892999], [7.61, 9.623333333333], [7.35, 9.426666666667], [7.789449736261999, 9.165500916892999]]"
142,226,227,228,"[[38.487941680688, 12.046212284445], [38.891334695477, 11.810065584791], [38.959261254882, 12.250798599770999], [38.487941680688, 12.046212284445]]"
143,229,230,231,"[[18.555354352958, 13.27724315532], [18.631538733006998, 13.783400260198], [18.339749066242, 13.753430897917], [18.555354352958, 13.27724315532]]"
144,82,232,74,"[[30.2420484688, 13.603415487703], [30.340170506360998, 13.209128097623001], [30.556371443303, 13.579160829368998], [30.2420484688, 13.603415487703]]"
145,233,234,235,"[[34.19, 13.63], [33.983456255736, 13.331100290881], [34.34748218517, 13.254178317936], [34.19, 13.63]]"
146,208,236,209,"[[7.673786061353001, 8.799642258732], [8.277489319456, 8.878049076143], [7.789449736261999, 9.165500916892999], [7.673786061353001, 8.799642258732]]"
147,237,238,239,"[[34.964801911646, 12.868938490581998], [34.688353954176, 13.204924113232], [34.543575441617996, 12.836570111103999], [34.964801911646, 12.868938490581998]]"
148,130,79,189,"[[28.135305120858998, 13.426554663887], [28.016435044498, 13.719402365311], [27.818614061698, 13.397105772846999], [28.135305120858998, 13.426554663887]]"
149,240,241,242,"[[32.551905054468996, 13.383850111178], [32.723333333333, 13.796666666666999], [32.316666666667, 13.833333333333002], [32.551905054468996, 13.383850111178]]"
150,188,243,187,"[[11.499598336695001, 12.525144903401001], [11.883251906226, 12.433583298728001], [11.693565181076, 12.797944412786], [11.499598336695001, 12.525144903401001]]"
151,244,193,195,"[[35.886666666667, 13.416666666666998], [35.605230162466995, 13.066712564354999], [35.886797845254, 12.872958761348], [35.886666666667, 13.416666666666998]]"
152,245,21,246,"[[0.259149844413, -0.616031285029], [0.382984428142, -0.129208566158], [0.0, 0.0], [0.259149844413, -0.616031285029]]"
